,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
1711,"203,470","200,170","203,510","202,200",30,0.01%,2020-06-28,1399/04/08,Sunday,یکشنبه
1712,"205,200","199,470","206,510","202,170",13740,7.29%,2020-06-27,1399/04/07,Saturday,شنبه
1713,"188,430","188,430","188,430","188,430",3050,1.62%,2020-06-25,1399/04/05,Thursday,پنج‌شنبه
1714,"192,180","189,570","192,810","191,480",3100,1.62%,2020-06-24,1399/04/04,Wednesday,چهارشنبه
1715,"201,380","193,570","203,510","194,580",6420,3.3%,2020-06-23,1399/04/03,Tuesday,سه‌شنبه
1716,"202,570","196,970","205,410","201,000",3200,1.62%,2020-06-22,1399/04/02,Monday,دوشنبه
1717,"195,570","195,270","200,010","197,800",3000,1.54%,2020-06-21,1399/04/01,Sunday,یکشنبه
1718,"192,700","192,470","198,010","194,800",11300,6.16%,2020-06-20,1399/03/31,Saturday,شنبه
1719,"183,500","183,500","183,500","183,500",2170,1.18%,2020-06-18,1399/03/29,Thursday,پنج‌شنبه
1720,"185,680","185,670","185,710","185,670",40,0.02%,2020-06-16,1399/03/27,Tuesday,سه‌شنبه
1721,"183,580","182,870","185,910","185,710",2800,1.53%,2020-06-15,1399/03/26,Monday,دوشنبه
1722,"179,510","179,470","183,210","182,910",3430,1.91%,2020-06-14,1399/03/25,Sunday,یکشنبه
1723,"179,510","179,470","179,510","179,480",1980,1.12%,2020-06-13,1399/03/24,Saturday,شنبه
1724,"177,500","177,500","177,500","177,500",2300,1.3%,2020-06-11,1399/03/22,Thursday,پنج‌شنبه
1725,"180,100","179,670","189,910","179,800",80,0.04%,2020-06-10,1399/03/21,Wednesday,چهارشنبه
1726,"177,880","177,870","180,210","179,880",1970,1.11%,2020-06-09,1399/03/20,Tuesday,سه‌شنبه
1727,"176,080","176,070","178,310","177,910",1800,1.02%,2020-06-08,1399/03/19,Monday,دوشنبه
1728,"176,710","175,670","176,710","176,110",700,0.4%,2020-06-07,1399/03/18,Sunday,یکشنبه
1729,"177,210","176,570","177,510","176,810",1070,0.61%,2020-06-06,1399/03/17,Saturday,شنبه
1730,"177,080","177,080","178,220","177,880",760,0.43%,2020-06-02,1399/03/13,Tuesday,سه‌شنبه
1731,"176,610","176,380","177,120","177,120",100,0.06%,2020-06-01,1399/03/12,Monday,دوشنبه
1732,"176,020","175,980","177,220","177,020",1010,0.57%,2020-05-31,1399/03/11,Sunday,یکشنبه
1733,"176,520","175,580","176,620","176,010",5400,3.17%,2020-05-30,1399/03/10,Saturday,شنبه
1734,"170,610","170,610","170,610","170,610",5100,2.99%,2020-05-28,1399/03/08,Thursday,پنج‌شنبه
1735,"174,610","174,280","175,720","175,710",1930,1.11%,2020-05-27,1399/03/07,Wednesday,چهارشنبه
1736,"175,010","173,080","175,020","173,780",1700,0.98%,2020-05-26,1399/03/06,Tuesday,سه‌شنبه
1737,"177,290","175,480","177,320","175,480",2430,1.4%,2020-05-23,1399/03/03,Saturday,شنبه
1738,"173,050","173,050","173,050","173,050",3960,2.29%,2020-05-21,1399/03/01,Thursday,پنج‌شنبه
1739,"178,420","176,180","178,420","177,010",1900,1.07%,2020-05-20,1399/02/31,Wednesday,چهارشنبه
1740,"177,720","177,380","179,120","178,910",2000,1.13%,2020-05-19,1399/02/30,Tuesday,سه‌شنبه
1741,"174,520","174,080","177,520","176,910",1130,0.64%,2020-05-18,1399/02/29,Monday,دوشنبه
1742,"169,080","169,080","180,210","175,780",6670,3.94%,2020-05-17,1399/02/28,Sunday,یکشنبه
1743,"169,090","169,080","169,120","169,110",570,0.34%,2020-05-16,1399/02/27,Saturday,شنبه
1744,"168,540","168,540","168,540","168,540",70,0.04%,2020-05-14,1399/02/25,Thursday,پنج‌شنبه
1745,"169,480","168,580","170,020","168,610",2470,1.46%,2020-05-13,1399/02/24,Wednesday,چهارشنبه
1746,"171,820","170,080","172,320","171,080",870,0.51%,2020-05-12,1399/02/23,Tuesday,سه‌شنبه
