,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
149,"2,166,186","2,106,439","2,166,186","2,112,560",14078,0.67%,2024-05-18,1403/02/29,Saturday,شنبه
150,"2,097,537","2,097,537","2,098,482","2,098,482",19419,0.93%,2024-05-24,1403/03/04,Friday,جمعه
151,"2,097,243","2,077,749","2,097,243","2,079,063",20932,1.02%,2024-05-25,1403/03/05,Saturday,شنبه
152,"2,076,283","2,056,557","2,076,283","2,058,131",11744,0.57%,2024-05-26,1403/03/06,Sunday,یکشنبه
153,"2,057,006","2,057,006","2,069,882","2,069,875",16205,0.78%,2024-05-27,1403/03/07,Monday,دوشنبه
154,"2,072,576","2,072,576","2,086,084","2,086,080",8000,0.38%,2024-05-28,1403/03/08,Tuesday,سه‌شنبه
155,"2,088,958","2,088,958","2,097,232","2,094,080",6394,0.31%,2024-05-31,1403/03/11,Friday,جمعه
156,"2,094,223","2,086,791","2,094,223","2,087,686",5568,0.27%,2024-06-01,1403/03/12,Saturday,شنبه
157,"2,087,828","2,081,526","2,088,779","2,082,118",17729,0.86%,2024-06-04,1403/03/15,Tuesday,سه‌شنبه
158,"2,081,014","2,063,572","2,081,014","2,064,389",2492,0.12%,2024-06-07,1403/03/18,Friday,جمعه
159,"2,062,978","2,058,148","2,062,978","2,061,897",16193,0.79%,2024-06-08,1403/03/19,Saturday,شنبه
160,"2,063,486","2,063,486","2,078,090","2,078,090",3206,0.15%,2024-06-09,1403/03/20,Sunday,یکشنبه
161,"2,081,016","2,081,016","2,083,973","2,081,296",5576,0.27%,2024-06-10,1403/03/21,Monday,دوشنبه
162,"2,077,075","2,074,571","2,077,075","2,075,720",14240,0.69%,2024-06-11,1403/03/22,Tuesday,سه‌شنبه
163,"2,074,474","2,061,480","2,074,474","2,061,480",16163,0.79%,2024-06-14,1403/03/25,Friday,جمعه
164,"2,061,671","2,045,096","2,061,671","2,045,317",1337,0.07%,2024-06-15,1403/03/26,Saturday,شنبه
