,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali
2786,"30,966,000","30,846,000","31,213,000","30,934,000",86000,0.28%,2024/03/11,1402/12/21
2787,"30,765,000","30,518,000","30,941,000","30,848,000",229000,0.74%,2024/03/12,1402/12/22
2788,"30,839,000","30,839,000","31,215,000","31,077,000",305000,0.98%,2024/03/13,1402/12/23
2789,"31,111,000","30,920,000","31,391,000","31,382,000",625000,1.99%,2024/03/15,1402/12/25
2790,"31,389,000","31,347,000","32,049,000","32,007,000",529000,1.65%,2024/03/16,1402/12/26
2791,"32,026,000","32,023,000","32,557,000","32,536,000",90000,0.28%,2024/03/17,1402/12/27
2792,"32,545,000","32,545,000","32,626,000","32,626,000",349000,1.08%,2024/03/23,1403/01/04
2793,"32,617,000","31,405,000","32,626,000","32,277,000",50000,0.16%,2024/03/24,1403/01/05
2794,"32,254,000","31,913,000","32,395,000","32,227,000",378000,1.17%,2024/03/25,1403/01/06
2795,"32,224,000","32,197,000","32,647,000","32,605,000",129000,0.4%,2024/03/26,1403/01/07
2796,"32,388,000","32,381,000","32,811,000","32,734,000",351000,1.07%,2024/03/27,1403/01/08
2797,"32,758,000","32,386,000","33,365,000","33,085,000",1270000,3.84%,2024/03/29,1403/01/10
2798,"32,388,000","32,386,000","34,563,000","34,355,000",1143000,3.33%,2024/04/01,1403/01/13
2799,"34,362,000","34,348,000","35,558,000","35,498,000",450000,1.27%,2024/04/02,1403/01/14
2800,"35,486,000","34,902,000","36,613,000","35,948,000",861000,2.4%,2024/04/03,1403/01/15
2801,"35,937,000","35,757,000","37,056,000","36,809,000",1281000,3.61%,2024/04/05,1403/01/17
2802,"36,290,000","35,105,000","37,033,000","35,528,000",268000,0.76%,2024/04/06,1403/01/18
2803,"35,604,000","34,755,000","36,050,000","35,260,000",977000,2.77%,2024/04/07,1403/01/19
2804,"35,297,000","35,297,000","36,525,000","36,237,000",2553000,7.05%,2024/04/08,1403/01/20
2805,"37,310,000","37,059,000","38,972,000","38,790,000",1441000,3.86%,2024/04/12,1403/01/24
2806,"38,772,000","36,478,000","39,344,000","37,349,000",84000,0.22%,2024/04/13,1403/01/25
2807,"37,379,000","36,241,000","37,571,000","37,433,000",459000,1.23%,2024/04/14,1403/01/26
2808,"37,495,000","36,943,000","38,241,000","37,892,000",376000,0.99%,2024/04/15,1403/01/27
2809,"37,899,000","37,303,000","38,536,000","38,268,000",30000,0.08%,2024/04/16,1403/01/28
2810,"37,980,000","37,657,000","38,663,000","38,298,000",1678000,4.58%,2024/04/17,1403/01/29
2811,"37,696,000","36,565,000","37,696,000","36,620,000",506000,1.38%,2024/04/19,1403/01/31
2812,"36,590,000","36,518,000","37,310,000","37,126,000",716000,1.97%,2024/04/20,1403/02/01
2813,"37,119,000","36,248,000","37,144,000","36,410,000",771000,2.16%,2024/04/21,1403/02/02
2814,"36,405,000","35,341,000","36,481,000","35,639,000",300000,0.85%,2024/04/22,1403/02/03
2815,"35,606,000","35,018,000","35,717,000","35,339,000",107000,0.3%,2024/04/23,1403/02/04
2816,"35,341,000","34,955,000","35,509,000","35,232,000",872000,2.54%,2024/04/24,1403/02/05
2817,"35,228,000","34,325,000","35,228,000","34,360,000",1095000,3.29%,2024/04/26,1403/02/07
2818,"34,369,000","33,132,000","34,501,000","33,265,000",1739000,5.23%,2024/04/27,1403/02/08
2819,"33,263,000","33,240,000","35,216,000","35,004,000",434000,1.26%,2024/04/28,1403/02/09
2820,"34,985,000","34,371,000","35,777,000","34,570,000",199000,0.58%,2024/04/29,1403/02/10
2821,"34,600,000","34,013,000","34,600,000","34,371,000",116000,0.34%,2024/04/30,1403/02/11
2822,"34,357,000","34,316,000","34,865,000","34,487,000",857000,2.55%,2024/05/01,1403/02/12
2823,"34,496,000","33,355,000","34,496,000","33,630,000",1337000,3.98%,2024/05/04,1403/02/15
2824,"33,653,000","33,496,000","35,087,000","34,967,000",688000,2.01%,2024/05/05,1403/02/16
2825,"34,531,000","33,840,000","34,678,000","34,279,000",109000,0.32%,2024/05/06,1403/02/17
2826,"34,286,000","33,750,000","34,323,000","34,170,000",85000,0.25%,2024/05/07,1403/02/18
2827,"34,140,000","33,924,000","34,274,000","34,085,000",35000,0.1%,2024/05/08,1403/02/19
2828,"34,090,000","34,023,000","34,515,000","34,050,000",302000,0.89%,2024/05/10,1403/02/21
2829,"34,104,000","33,563,000","34,222,000","33,748,000",282000,0.84%,2024/05/11,1403/02/22
2830,"33,681,000","33,194,000","33,746,000","33,466,000",10000,0.03%,2024/05/12,1403/02/23
2831,"33,469,000","33,226,000","33,838,000","33,476,000",247000,0.74%,2024/05/13,1403/02/24
2832,"33,469,000","33,263,000","33,953,000","33,723,000",81000,0.24%,2024/05/14,1403/02/25
2833,"33,713,000","33,517,000","34,164,000","33,642,000",584000,1.77%,2024/05/15,1403/02/26
2834,"33,635,000","33,032,000","33,947,000","33,058,000",2950000,8.92%,2024/05/17,1403/02/28
2835,"33,065,000","32,986,000","36,105,000","36,008,000",2311000,6.86%,2024/05/18,1403/02/29
2836,"35,999,000","33,125,000","35,999,000","33,697,000",145000,0.43%,2024/05/19,1403/02/30
2837,"33,693,000","32,873,000","33,870,000","33,552,000",190000,0.57%,2024/05/20,1403/02/31
2838,"33,622,300","32,671,400","33,834,100","33,362,000",94000,0.28%,2024/05/21,1403/03/01
2839,"33,001,000","32,986,000","33,328,000","33,268,000",490000,1.49%,2024/05/22,1403/03/02
2840,"33,265,000","32,432,000","33,265,000","32,778,000",116000,0.35%,2024/05/24,1403/03/04
2841,"32,764,000","32,455,000","33,238,000","32,894,000",648000,1.97%,2024/05/25,1403/03/05
