,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
9379,"1,252.8900","1,237.4399","1,273.7900","1,271.4399",23,1.84%,2016-03-10,1394/12/20,Thursday,پنج‌شنبه
9380,"1,271.4399","1,248.4399","1,282.8900","1,248.4399",13.1599,1.07%,2016-03-11,1394/12/21,Friday,جمعه
9381,"1,250.9800","1,229.2800","1,261.0900","1,235.2800",2.9,0.24%,2016-03-14,1394/12/24,Monday,دوشنبه
9382,"1,234.6801","1,226.0800","1,237.5800","1,232.3800",30.7,2.49%,2016-03-15,1394/12/25,Tuesday,سه‌شنبه
9383,"1,232.8400","1,227.2400","1,264.3800","1,263.0800",5.1799,0.41%,2016-03-16,1394/12/26,Wednesday,چهارشنبه
9384,"1,261.7000","1,254.6500","1,271.6500","1,257.9000",2.6,0.21%,2016-03-17,1394/12/27,Thursday,پنج‌شنبه
9385,"1,258.1600","1,248.3000","1,267.2200","1,255.3000",11.5601,0.93%,2016-03-18,1394/12/28,Friday,جمعه
9386,"1,254.7000","1,240.7600","1,256.1200","1,243.7400",4.64,0.37%,2016-03-21,1395/01/02,Monday,دوشنبه
9387,"1,244.2200","1,242.4700","1,259.9700","1,248.3800",28.21,2.31%,2016-03-22,1395/01/03,Tuesday,سه‌شنبه
9388,"1,248.1801","1,215.4700","1,249.4700","1,220.1700",3.1801,0.26%,2016-03-23,1395/01/04,Wednesday,چهارشنبه
9389,"1,221.2000","1,213.0100","1,224.4000","1,216.9900",0.52,0.04%,2016-03-24,1395/01/05,Thursday,پنج‌شنبه
9390,"1,216.4700","1,216.4700","1,216.4700","1,216.4700",4.5801,0.38%,2016-03-25,1395/01/06,Friday,جمعه
9391,"1,214.5100","1,208.5500","1,222.9600","1,221.0500",21.5,1.76%,2016-03-28,1395/01/09,Monday,دوشنبه
9392,"1,221.4000","1,215.6500","1,243.6500","1,242.5500",17.7001,1.45%,2016-03-29,1395/01/10,Tuesday,سه‌شنبه
9393,"1,241.3000","1,223.3300","1,243.3000","1,224.8500",7.85,0.64%,2016-03-30,1395/01/11,Wednesday,چهارشنبه
9394,"1,226.0601","1,224.8101","1,240.0500","1,232.7000",10.21,0.84%,2016-03-31,1395/01/12,Thursday,پنج‌شنبه
9395,"1,232.6801","1,208.8400","1,235.3600","1,222.4900",7.09,0.58%,2016-04-01,1395/01/13,Friday,جمعه
9396,"1,220.3500","1,214.7000","1,223.3500","1,215.4000",15.74,1.3%,2016-04-04,1395/01/16,Monday,دوشنبه
9397,"1,215.3101","1,214.9000","1,237.0500","1,231.1400",8.79,0.72%,2016-04-05,1395/01/17,Tuesday,سه‌شنبه
